Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538166146653,1835105216398781,-0.03835069,0.011718267,-0.0063917814
android.sensor.gyroscope,1538166146653,1835105235854148,-0.070309594,0.113986775,-0.025567126
android.sensor.gyroscope,1538166146653,1835105256064983,-0.015979454,0.0085223755,-0.0042611877
android.sensor.gyroscope,1538166146669,1835105275730246,0.03089361,-0.12570503,0.043677174
android.sensor.gyroscope,1538166146689,1835105295991706,-0.0085223755,0.0085223755,0.07989727
android.sensor.gyroscope,1538166146709,1835105315792750,-0.03835069,0.12890093,0.02769772
android.sensor.gyroscope,1538166146729,1835105335628429,0.011718267,0.06178722,-0.031958908
android.sensor.gyroscope,1538166146749,1835105355386972,0.043677174,-0.04154658,0.0074570784
android.sensor.gyroscope,1538166146769,1835105375414943,-0.0021305939,-0.05113425,0.07244019
android.sensor.gyroscope,1538166146787,1835105395173955,-0.04261188,-0.0042611877,0.058591332
android.sensor.gyroscope,1538166146808,1835105415290155,-0.036220096,0.020240642,0.02769772
android.sensor.gyroscope,1538166146827,1835105434935678,-0.04154658,0.023436533,-0.0031958907
android.sensor.gyroscope,1538166146848,1835105455033701,-0.070309594,0.018110048,0.01384886
android.sensor.gyroscope,1538166146867,1835105474680161,-0.07350549,-0.05539544,0.005326485
android.sensor.gyroscope,1538166146887,1835105494732038,0.0031958907,-0.09374613,0.02769772
android.sensor.gyroscope,1538166146907,1835105514549436,-0.02769772,-0.09374613,0.04154658
android.sensor.gyroscope,1538166146927,1835105534652928,-0.21518998,-0.15659864,-0.031958908
android.sensor.gyroscope,1538166146948,1835105554328555,-0.32278496,-0.23969181,-0.13209683
android.sensor.gyroscope,1538166146969,1835105574562150,-0.1022685,-0.14381509,-0.21838588
android.sensor.gyroscope,1538166146989,1835105594302778,0.092680834,0.2865649,-0.36113566
android.sensor.gyroscope,1538166147008,1835105614348404,-0.039415985,0.556085,-0.7009654
android.sensor.gyroscope,1538166147029,1835105633686010,-0.034089502,0.5646074,-0.9523755
android.sensor.gyroscope,1538166147047,1835105654110023,0.35580918,0.64450467,-1.09406
android.sensor.gyroscope,1538166147068,1835105673881431,0.84158456,0.7552955,-1.0706234
android.sensor.gyroscope,1538166147090,1835105693737579,1.3433394,0.73931605,-1.0407951
android.sensor.gyroscope,1538166147110,1835105713663466,1.6490797,0.6572882,-0.9736814
android.sensor.gyroscope,1538166147128,1835105733711750,1.7513481,0.6796594,-0.789385
android.sensor.gyroscope,1538166147149,1835105753430814,1.8877062,0.62639457,-0.54117084
android.sensor.gyroscope,1538166147168,1835105773330295,2.0720026,0.6498311,-0.31319728
android.sensor.gyroscope,1538166147191,1835105794946079,2.0794597,0.7925809,-0.08522376
android.sensor.gyroscope,1538166147211,1835105814978997,2.0144765,0.83306223,0.1054644
android.sensor.gyroscope,1538166147231,1835105834695353,1.8983592,0.8767394,0.29828313
android.sensor.gyroscope,1538166147249,1835105854714574,1.8930327,0.8660864,0.39842105
android.sensor.gyroscope,1538166147271,1835105874479889,1.9431016,0.7755362,0.52945256
android.sensor.gyroscope,1538166147289,1835105894513589,1.8355067,0.9790079,0.6285252
android.sensor.gyroscope,1538166147311,1835105914241247,1.7641318,1.287944,0.7627526
android.sensor.gyroscope,1538166147330,1835105934299322,1.8408331,1.0503827,0.93426543
android.sensor.gyroscope,1538166147348,1835105952359428,1.9974318,0.64876586,1.1718266
android.sensor.gyroscope,1538166147372,1835105974110784,1.9899746,0.7584914,1.3721025
android.sensor.gyroscope,1538166147391,1835105993811828,1.7843723,1.1356065,1.4967422
android.sensor.gyroscope,1538166147411,1835106013872923,1.4519997,1.4274979,1.5073951
android.sensor.gyroscope,1538166147428,1835106033592092,1.1686307,1.3049887,1.5308317
android.sensor.gyroscope,1538166147450,1835106053636886,1.0141627,1.3369477,1.6810386
android.sensor.gyroscope,1538166147469,1835106073390117,0.7595567,1.8738573,1.8418984
android.sensor.gyroscope,1538166147488,1835106091583192,0.56354207,2.095439,1.951624
android.sensor.gyroscope,1538166147514,1835106113151371,0.4932325,1.8014171,1.9356445
android.sensor.gyroscope,1538166147531,1835106133186841,0.19601464,1.6512103,1.9377751
android.sensor.gyroscope,1538166147548,1835106152956427,-0.13635801,1.8823797,2.1817281
android.sensor.gyroscope,1538166147573,1835106172959502,-0.4559471,1.9281875,2.2115564
android.sensor.gyroscope,1538166147591,1835106192690910,-0.5177343,1.5862272,2.2371235
android.sensor.gyroscope,1538166147610,1835106212773360,-0.5901745,1.453065,2.2477765
android.sensor.gyroscope,1538166147630,1835106232473466,-0.7414467,1.639492,2.2541683
android.sensor.gyroscope,1538166147651,1835106252544510,-1.2133732,1.6490797,2.1210063
android.sensor.gyroscope,1538166147671,1835106272256595,-1.316707,1.0535786,2.1891851
android.sensor.gyroscope,1538166147687,1835106290153055,-1.0652969,0.70735717,2.5013173
android.sensor.gyroscope,1538166147708,1835106312038943,-1.3071194,1.2218956,2.360698
android.sensor.gyroscope,1538166147728,1835106332087851,-2.077329,1.453065,1.8397678
android.sensor.gyroscope,1538166147748,1835106351785717,-2.8027961,0.9353307,1.4189755
android.sensor.gyroscope,1538166147768,1835106371865459,-2.5343413,-0.2077329,2.0794597
android.sensor.gyroscope,1538166147787,1835106391571971,-1.8450943,-0.7797974,2.5354066
android.sensor.gyroscope,1538166147805,1835106409939838,-1.9494934,-0.41440052,2.1497693
android.sensor.gyroscope,1538166147826,1835106429471975,-2.5854757,0.09694202,1.248528
android.sensor.gyroscope,1538166147848,1835106451410675,-3.2331762,0.2737813,0.6327864
android.sensor.gyroscope,1538166147867,1835106471046667,-3.4686067,-0.08522376,0.6125457
android.sensor.gyroscope,1538166147887,1835106491201304,-3.0627286,-0.6253293,0.67326766
android.sensor.gyroscope,1538166147907,1835106510934692,-2.88802,-0.5816521,0.31106672
android.sensor.gyroscope,1538166147927,1835106530976725,-3.3599465,-0.039415985,-0.1725781
android.sensor.gyroscope,1538166147947,1835106550697925,-4.017235,0.24608359,-0.6967042
android.sensor.gyroscope,1538166147968,1835106570717093,-4.0097775,-0.1725781,-0.91722065
android.sensor.gyroscope,1538166147986,1835106590260481,-3.565549,-0.47938362,-1.036534
android.sensor.gyroscope,1538166148006,1835106610517306,-3.232111,-0.42079228,-1.2570504
android.sensor.gyroscope,1538166148027,1835106630277151,-3.1969562,-0.32811147,-1.5542682
android.sensor.gyroscope,1538166148047,1835106650300383,-3.2076092,-0.32704616,-1.7896988
android.sensor.gyroscope,1538166148066,1835106669812155,-2.902934,-0.46766534,-2.024064
android.sensor.gyroscope,1538166148087,1835106690080751,-2.6802871,-0.47512242,-2.1827934
android.sensor.gyroscope,1538166148102,1835106707940805,-2.6632423,-0.26738954,-2.3479145
android.sensor.gyroscope,1538166148126,1835106728185963,-2.3084984,-0.42824936,-2.4661624
android.sensor.gyroscope,1538166148147,1835106747629299,-1.7353687,-0.61467636,-2.607847
android.sensor.gyroscope,1538166148160,1835106767748519,-1.5233747,-0.27058542,-2.8837588
android.sensor.gyroscope,1538166148182,1835106787469927,-1.5350928,0.15446806,-3.182042
android.sensor.gyroscope,1538166148202,1835106807290346,-1.1888714,0.25673655,-3.2693963
android.sensor.gyroscope,1538166148220,1835106827169515,-0.4218576,0.1022685,-3.049945
android.sensor.gyroscope,1538166148241,1835106847332329,0.067113705,0.2056023,-2.913587
android.sensor.gyroscope,1538166148261,1835106867054050,0.11185618,0.3813763,-2.9306319
android.sensor.gyroscope,1538166148280,1835106887103167,0.16512102,0.38670278,-2.8965423
android.sensor.gyroscope,1538166148302,1835106906573741,0.28123838,0.5401055,-2.7527273
android.sensor.gyroscope,1538166148321,1835106926836764,0.26952013,0.67646354,-2.5343413
android.sensor.gyroscope,1538166148339,1835106946476714,0.33343795,0.60934985,-2.3756123
android.sensor.gyroscope,1538166148359,1835106966637341,0.49749365,0.6668759,-2.3756123
android.sensor.gyroscope,1538166148379,1835106986355260,0.68072474,0.63811284,-2.2392542
android.sensor.gyroscope,1538166148399,1835107006166876,0.74570787,0.65622294,-2.0677414
android.sensor.gyroscope,1538166148419,1835107025867035,0.8064298,0.58484805,-1.9995624
android.sensor.gyroscope,1538166148438,1835107046075162,0.83732337,0.5731298,-1.8855755
android.sensor.gyroscope,1538166148459,1835107065843184,0.7957768,0.71587956,-1.7481523
android.sensor.gyroscope,1538166148478,1835107085968603,0.6295905,0.9321348,-1.6746467
android.sensor.gyroscope,1538166148499,1835107105671053,0.6413088,0.77873206,-1.442412
android.sensor.gyroscope,1538166148518,1835107125665482,0.8692823,0.5603462,-1.0333381
android.sensor.gyroscope,1538166148537,1835107145240067,0.92574304,0.71907544,-0.7883197
android.sensor.gyroscope,1538166148559,1835107165512726,0.8266704,0.742512,-0.868217
android.sensor.gyroscope,1538166148578,1835107185219290,0.9332001,0.5262567,-1.0003139
android.sensor.gyroscope,1538166148598,1835107205288146,1.080211,0.44422883,-0.9832691
android.sensor.gyroscope,1538166148622,1835107224966065,0.9097636,0.81601745,-0.886327
android.sensor.gyroscope,1538166148639,1835107244821119,0.65196174,1.2868787,-0.7851238
android.sensor.gyroscope,1538166148658,1835107264535027,0.7169448,1.09406,-0.63491696
android.sensor.gyroscope,1538166148678,1835107284694925,0.92680836,0.71481425,-0.3781804
android.sensor.gyroscope,1538166148697,1835107304541906,1.015228,0.818148,-0.15553336
android.sensor.gyroscope,1538166148718,1835107324601960,0.9822038,1.0631664,0.064983115
android.sensor.gyroscope,1538166148741,1835107344357014,1.1590431,0.7957768,0.10013791
android.sensor.gyroscope,1538166148761,1835107364892902,1.3294905,0.4836448,0.060721926
android.sensor.gyroscope,1538166148777,1835107384061029,1.1345413,0.703096,0.03835069
android.sensor.gyroscope,1538166148798,1835107404123479,0.7254672,1.2442669,-0.020240642
android.sensor.gyroscope,1538166148817,1835107424011970,0.5358444,1.1888714,0.120378554
android.sensor.gyroscope,1538166148837,1835107443892076,0.506016,0.7222713,0.054330144
android.sensor.gyroscope,1538166148857,1835107463706297,0.506016,0.74570787,-0.044742472
android.sensor.gyroscope,1538166148878,1835107483783278,0.40587813,0.9747467,-0.14168449
android.sensor.gyroscope,1538166148899,1835107503251822,0.30254433,0.92680836,-0.13316211
android.sensor.gyroscope,1538166148919,1835107523317032,0.22051647,0.6285252,0.05219955
android.sensor.gyroscope,1538166148938,1835107543022399,0.18962285,0.3771151,0.15766394
android.sensor.gyroscope,1538166148961,1835107563052296,0.32704616,0.26312834,-0.059656627
android.sensor.gyroscope,1538166148980,1835107582790163,0.6189375,0.2109288,-0.11824796
android.sensor.gyroscope,1538166149000,1835107602827821,0.800038,0.09907261,0.036220096
android.sensor.gyroscope,1538166149017,1835107622778292,0.57632565,-0.058591332,0.23756121
android.sensor.gyroscope,1538166149038,1835107642934648,0.3504827,-0.0074570784,0.42611876
android.sensor.gyroscope,1538166149057,1835107662511056,0.556085,-0.1054644,0.4527512
